company,rule,result,message
3M,SI-01,FAIL,Original other-income section not found
AMD,SI-01,FAIL,Injected operating-expenses section not found
ATandT,SI-01,FAIL,Original other-income section not found
AbbVie,SI-01,FAIL,Original other-income section not found
Abbott Laboratories,SI-01,FAIL,Original other-income section not found
Adobe,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Allstate,SI-01,FAIL,Original other-income section not found
Alphabet (Google),SI-01,FAIL,Injected operating-expenses section not found
Amazon,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
American Express,SI-01,FAIL,Original other-income section not found
Apple,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Applied Materials,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Asana,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Bank of America,SI-01,FAIL,Injected operating-expenses section not found
Baxter International,SI-01,FAIL,Original other-income section not found
Berkshire Hathaway,SI-01,FAIL,No numeric non-operating line found in original other-income section
Best Buy,SI-01,FAIL,Injected operating-expenses section not found
Bilibili,SI-01,FAIL,Original other-income section not found
Block,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Boeing,SI-01,FAIL,Injected operating-expenses section not found
Boston Scientific,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Box,SI-01,FAIL,Original other-income section not found
Broadcom,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Caterpillar,SI-01,FAIL,Injected operating-expenses section not found
Chevron,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Cisco Systems,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Coca-Cola,SI-01,FAIL,Injected operating-expenses section not found
Corsair Gaming,SI-01,FAIL,Original other-income section not found
Costco,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Dell,SI-01,FAIL,Original other-income section not found
Dell Technologies,SI-01,FAIL,Original other-income section not found
Delta Air Lines,SI-01,FAIL,Original other-income section not found
Disney,SI-01,FAIL,Injected operating-expenses section not found
DraftKings,SI-01,FAIL,Injected operating-expenses section not found
DuPont,SI-01,FAIL,Original other-income section not found
Electronic Arts,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Eli Lilly,SI-01,FAIL,Original other-income section not found
Etsy,SI-01,PASS,PASS: found a non-operating line moved into Operating Expenses
ExxonMobil,SI-01,FAIL,Injected operating-expenses section not found
FedEx,SI-01,FAIL,No non-operating line from original other-income was found inside injected Operating Expenses block
Ford Motor,SI-01,FAIL,Injected operating-expenses section not found
General Electric,SI-01,FAIL,Injected operating-expenses section not found
General Motors,SI-01,FAIL,Original other-income section not found
Goldman Sachs,SI-01,FAIL,Original other-income section not found
HP,SI-01,FAIL,Original other-income section not found
Home Depot,SI-01,FAIL,Original other-income section not found
Honda,SI-01,FAIL,Injected operating-expenses section not found
Honeywell International,SI-01,FAIL,Original other-income section not found
IBM,SI-01,FAIL,Original other-income section not found
Intel,SI-01,FAIL,Original other-income section not found
JD.com,SI-01,FAIL,Injected operating-expenses section not found
JPMorgan Chase,SI-01,FAIL,Injected operating-expenses section not found
Johnson and Johnson,SI-01,FAIL,Original other-income section not found
Kellogg_s,SI-01,FAIL,Injected operating-expenses section not found
Li Auto,SI-01,FAIL,Injected operating-expenses section not found
Lockheed Martin,SI-01,FAIL,Injected operating-expenses section not found
Logitech,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Lucid Motors,SI-01,FAIL,Injected operating-expenses section not found
Luckin Coffee,SI-01,FAIL,Original other-income section not found
Lyft,SI-01,FAIL,Injected operating-expenses section not found
Marriott,SI-01,FAIL,Injected operating-expenses section not found
MasterCard,SI-01,FAIL,No non-operating line from original other-income was found inside injected Operating Expenses block
McDonald_s,SI-01,FAIL,Original other-income section not found
Merck,SI-01,FAIL,Original other-income section not found
Meta Platforms,SI-01,FAIL,Injected operating-expenses section not found
Microchip Technology,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Microsoft,SI-01,FAIL,Injected operating-expenses section not found
Morgan Stanley,SI-01,FAIL,Original other-income section not found
