company,rule,result,message,info_brief
3M,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 50),"{'numeric_diff': (100, 50, '4,868', 4868.0, 50, '4,768', 4768.0), 'matched_target_line': ('total equity', 50, '[row 47]: Total equity | | 4,868 [SEP]')}"
AMD,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (80, 41, '67,885', 67885.0, 41, '67,985', 67985.0), 'matched_target_line': ('total liabilities', 41, '[row 38]: Total liabilities and stockholders’ equity | $ | 67,885 | $ | | [SEP]')}"
ATandT,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 46),"{'numeric_diff': (109, 46, '407,060', 407060.0, 46, '407,560', 407560.0), 'matched_target_line': ('total liabilities', 46, '[row 43]: Total Liabilities and Stockholders’ Equity | $ | 407,060 [SEP]')}"
AbbVie,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 35),"{'numeric_diff': (74, 35, '10,397', 10397.0, 35, '10,997', 10997.0), 'matched_target_line': ('total equity', 35, '[row 32]: Total equity | 10,397 | [SEP]')}"
Abbott Laboratories,BS-01,FAIL,Single numeric difference not located at/near Total Assets/Total Liabilities/Total Equity,"{'numeric_diff': (147, 76, '73,214', 73214.0, 76, '73,514', 73514.0)}"
Adobe,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 32),"{'numeric_diff': (56, 32, '13,261', 13261.0, 32, '13,361', 13361.0), 'matched_target_line': ('total liabilities', 32, '[row 29]: Total liabilities | 13,261 | [SEP]')}"
Allstate,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 46),"{'numeric_diff': (100, 46, '17,630', 17630.0, 46, '17,430', 17430.0), 'matched_target_line': ('total equity', 46, '[row43]: Total equity | 17,630 | [SEP]')}"
Alphabet (Google),BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 80),"{'numeric_diff': (167, 80, '402,392', 402392.0, 80, '402,492', 402492.0), 'matched_target_line': ('total liabilities', 80, '[row 37]: Total liabilities and stockholders’ equity | | 402,392 [SEP]')}"
Amazon,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 66),"{'numeric_diff': (129, 66, '527,854', 527854.0, 66, '527,954', 527954.0), 'matched_target_line': ('total liabilities', 66, '[row 30]: Total liabilities and stockholders’ equity | $ | 527,854 [SEP]')}"
American Express,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 64),"{'numeric_diff': (219, 64, '228,354', 228354.0, 64, '228,254', 228254.0), 'matched_target_line': ('total liabilities', 64, '[row 29]: Total liabilities and shareholders’ equity | $ 228,354 | [SEP]')}"
Apple,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 30),"{'numeric_diff': (51, 30, '290,437', 290437.0, 30, '290,537', 290537.0), 'matched_target_line': ('total liabilities', 30, '[row 27]: Total liabilities | | 290,437 [SEP]')}"
Applied Materials,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 36),"{'numeric_diff': (72, 35, '16,349', 16349.0, 35, '16,249', 16249.0), 'matched_target_line': ('total liabilities', 36, '[row 33]: Total liabilities and stockholders’ equity | $ | 30,729 [SEP]')}"
Asana,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 34),"{'numeric_diff': (70, 34, '954,963', 954963.0, 34, '954,863', 954863.0), 'matched_target_line': ('total liabilities', 34, '[row 31]: Total liabilities and stockholders’ equity (deficit) | $ 954,963 | [SEP]')}"
Bank of America,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 46),"{'numeric_diff': (113, 46, '3,180,151', 3180151.0, 46, '3,180,251', 3180251.0), 'matched_target_line': ('total liabilities', 46, '[row 43]: Total liabilities and shareholders’ equity | $ 3,180,151 | [SEP]')}"
Baxter International,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 38),"{'numeric_diff': (76, 38, '8,468', 8468.0, 38, '8,568', 8568.0), 'matched_target_line': ('total equity', 38, '[row 35]: Total equity | 8,468 | [SEP]')}"
Berkshire Hathaway,BS-01,FAIL,Single numeric difference not located at/near Total Assets/Total Liabilities/Total Equity,"{'numeric_diff': (156, 85, '1,069,978', 1069978.0, 85, '1,069,879', 1069879.0)}"
Best Buy,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 43),"{'numeric_diff': (80, 43, '3,053', 3053.0, 43, '3,153', 3153.0), 'matched_target_line': ('total equity', 43, '[row 40]: Total equity | 3,053 | [SEP]')}"
Bilibili,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 25),"{'numeric_diff': (119, 25, '18,754,963', 18754963.0, 25, '18,854,963', 18854963.0), 'matched_target_line': ('total liabilities', 25, '[row 22]: Total liabilities | 6,363,415 | 9,199,372 | 15,523,946 | 20,038,653 | (36,823,423) | 18,754,963 [SEP]')}"
Block,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 47),"{'numeric_diff': (113, 46, '18,692,835', 18692835.0, 46, '18,792,835', 18792835.0), 'matched_target_line': ('total liabilities', 47, '[row 44]: Total liabilities and stockholders’ equity | $ | 34,069,893 [SEP]')}"
Boeing,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 40),"{'numeric_diff': (79, 40, '(17,228)', -17228.0, 40, '(17,128)', -17128.0), 'matched_target_line': ('total equity', 40, '[row 37]: Total equity | (17,228) | [SEP]')}"
Boston Scientific,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 37),"{'numeric_diff': (84, 37, '19,530', 19530.0, 37, '19,430', 19430.0), 'matched_target_line': ('total equity', 37, '[row 34]: Total equity | 19,530 | [SEP]')}"
Box,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 16),"{'numeric_diff': (27, 16, '1,207,165', 1207165.0, 16, '1,307,165', 1307165.0), 'matched_target_line': ('total assets', 16, '[row 13]: Total assets | $ | 1,207,165 [SEP]')}"
Broadcom,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 35),"{'numeric_diff': (67, 35, '72,861', 72861.0, 35, '72,761', 72761.0), 'matched_target_line': ('total liabilities', 35, '[row 32]: Total liabilities and equity | $ | 72,861 [SEP]')}"
Caterpillar,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 50),"{'numeric_diff': (92, 50, '87,476', 87476.0, 50, '87,576', 87576.0), 'matched_target_line': ('total liabilities', 50, '[row 47]: Total liabilities and shareholders’ equity | $ | 87,476 [SEP]')}"
Chevron,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 44),"{'numeric_diff': (100, 44, '161,929', 161929.0, 44, '161,829', 161829.0), 'matched_target_line': ('total equity', 44, '[row 41]: Total Equity | 161,929 | [SEP]')}"
Cisco Systems,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 40),"{'numeric_diff': (85, 40, '44,353', 44353.0, 40, '44,553', 44553.0), 'matched_target_line': ('total equity', 40, '[row 37]: Total equity | | 44,353 [SEP]')}"
Coca-Cola,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 40),"{'numeric_diff': (80, 41, '92,763', 92763.0, 41, '92,863', 92863.0), 'matched_target_line': ('total equity', 40, '[row 37]: Total Equity | 25,826 | [SEP]')}"
Corsair Gaming,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 40),"{'numeric_diff': (80, 40, '1,357,463', 1357463.0, 40, '1,357,563', 1357563.0), 'matched_target_line': ('total liabilities', 40, '[row 37]: Total liabilities, temporary equity and permanent equity | $ 1,357,463 | [SEP]')}"
Costco,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 15),"{'numeric_diff': (24, 15, '68,994', 68994.0, 15, '69,194', 69194.0), 'matched_target_line': ('total assets', 15, '[row 12]: TOTAL ASSETS | $ | 68,994 [SEP]')}"
Dell,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 31),"{'numeric_diff': (58, 31, '84,398', 84398.0, 31, '84,498', 84498.0), 'matched_target_line': ('total liabilities', 31, '[row 28]: Total liabilities | $ | 84,398 [SEP]')}"
Dell Technologies,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 31),"{'numeric_diff': (61, 31, '92,636', 92636.0, 31, '92,736', 92736.0), 'matched_target_line': ('total liabilities', 31, '[row 28]: Total liabilities | $ | 92,636 [SEP]')}"
Delta Air Lines,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 19),"{'numeric_diff': (40, 19, '73,644', 73644.0, 19, '73,844', 73844.0), 'matched_target_line': ('total assets', 19, '[row 16]: Total assets | $ | 73,644 [SEP]')}"
Disney,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 43),"{'numeric_diff': (79, 43, '103,957', 103957.0, 43, '103,757', 103757.0), 'matched_target_line': ('total equity', 43, '[row 40]: Total equity | | 103,957 [SEP]')}"
DraftKings,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (105, 41, '3,944,866', 3944866.0, 41, '3,944,766', 3944766.0), 'matched_target_line': ('total liabilities', 41, '[row 38]: Total liabilities and stockholders’ equity | $ 3,944,866 | [SEP]')}"
DuPont,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 49),"{'numeric_diff': (87, 49, '24,725', 24725.0, 49, '24,825', 24825.0), 'matched_target_line': ('total equity', 49, '[row 46]: Total equity |  | 24,725 [SEP]')}"
Electronic Arts,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 35),"{'numeric_diff': (65, 35, '13,459', 13459.0, 35, '13,559', 13559.0), 'matched_target_line': ('total liabilities', 35, '[row 32]: TOTAL LIABILITIES AND STOCKHOLDERS’ EQUITY | $ | 13,459 [SEP]')}"
Eli Lilly,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 47),"{'numeric_diff': (92, 47, '11,263.7', 11263.7, 47, '11,463.7', 11463.7), 'matched_target_line': ('total equity', 47, '[row 44]: Total equity | 11,263.7 | [SEP]')}"
Etsy,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (85, 41, '2,685,400', 2685400.0, 41, '2,785,400', 2785400.0), 'matched_target_line': ('total liabilities', 41, '[row 38]: Total liabilities and stockholders’ deficit | $ | 2,685,400 [SEP]')}"
ExxonMobil,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 38),"{'numeric_diff': (79, 38, '212,538', 212538.0, 38, '212,638', 212638.0), 'matched_target_line': ('total equity', 38, '[row 35]: Total Equity |  | 212,538 | [SEP]')}"
FedEx,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 74),"{'numeric_diff': (144, 74, '87,143', 87143.0, 74, '87,243', 87243.0), 'matched_target_line': ('total liabilities', 74, '[row 24]: TOTAL LIABILITIES AND COMMON STOCKHOLDERS’ INVESTMENT | 87,143 | [SEP]')}"
Ford Motor,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 87),"{'numeric_diff': (187, 89, '42,798', 42798.0, 89, '42,698', 42698.0), 'matched_target_line': ('total equity', 87, '[row 35]: Total equity attributable to Ford Motor Company | 42,773 | [SEP]')}"
General Electric,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 41),"{'numeric_diff': (78, 41, '28,579', 28579.0, 41, '28,679', 28679.0), 'matched_target_line': ('total equity', 41, '[row 38]: Total equity | 28,579 [SEP]')}"
General Motors,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 48),"{'numeric_diff': (102, 48, '68,189', 68189.0, 48, '68,299', 68299.0), 'matched_target_line': ('total equity', 48, '[row 45]: Total Equity | | 68,189 [SEP]')}"
Goldman Sachs,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 37),"{'numeric_diff': (81, 37, '1,641,594', 1641594.0, 37, '1,641,894', 1641894.0), 'matched_target_line': ('total liabilities', 37, '[row 34]: Total liabilities and shareholders’ equity | $ 1,641,594 | [SEP]')}"
HP,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 30),"{'numeric_diff': (59, 30, '37,004', 37004.0, 30, '37,204', 37204.0), 'matched_target_line': ('total liabilities', 30, '[row 27]: Total liabilities and stockholders’ deficit | $ | 37,004 [SEP]')}"
Home Depot,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 38),"{'numeric_diff': (86, 37, '1,044', 1044.0, 37, '1,244', 1244.0), 'matched_target_line': ('total liabilities', 38, '[row 35]: Total liabilities and stockholders’ equity | $ 76,530 | [SEP]')}"
Honda,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 27),"{'numeric_diff': (55, 27, '19,025', 19025.0, 27, '19,125', 19125.0), 'matched_target_line': ('total equity', 27, '[row 24]: Total equity | 19,025 |  [SEP]')}"
Honeywell International,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (76, 41, '61,525', 61525.0, 41, '61,825', 61825.0), 'matched_target_line': ('total liabilities', 41, '[row 38]: Total liabilities, redeemable noncontrolling interest and shareowners’ equity | $61,525 |  [SEP]')}"
IBM,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 56),"{'numeric_diff': (117, 56, '22,613', 22613.0, 56, '22,813', 22813.0), 'matched_target_line': ('total equity', 56, '[row 53]: Total equity | | 22,613 [SEP]')}"
Intel,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 39),"{'numeric_diff': (73, 39, '182,103', 182103.0, 39, '182,503', 182503.0), 'matched_target_line': ('total liabilities', 39, ""[row 36]: Total liabilities and stockholders' equity | $ | 182,103 [SEP]"")}"
JD.com,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 165),"{'numeric_diff': (261, 167, '295,766', 295766.0, 167, '295,666', 295666.0), 'matched_target_line': ('total liabilities', 165, '[row22]: Total liabilities | 332,763 | [SEP]')}"
JPMorgan Chase,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 38),"{'numeric_diff': (88, 38, '3,875,393', 3875393.0, 38, '3,875,793', 3875793.0), 'matched_target_line': ('total liabilities', 38, '[row 35]: Total liabilities and stockholders’ equity | $ 3,875,393 |  [SEP]')}"
Johnson and Johnson,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 44),"{'numeric_diff': (86, 44, '167,558', 167558.0, 44, '167,958', 167958.0), 'matched_target_line': ('total liabilities', 44, '[row 41]: Total liabilities and shareholders’ equity | $167,558 | [SEP]')}"
Kellogg_s,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 36),"{'numeric_diff': (68, 37, '1,889', 1889.0, 37, '1,799', 1799.0), 'matched_target_line': ('total equity', 36, '[row 33]: Total equity | | 300 [SEP]')}"
Li Auto,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 146),"{'numeric_diff': (342, 146, '143,467,471', 143467471.0, 146, '143,467,999', 143467999.0), 'matched_target_line': ('total liabilities', 146, '[row 12]: Total liabilities and shareholders’ equity |  | 143,467,471 | [SEP]')}"
Lockheed Martin,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 28),"{'numeric_diff': (49, 28, '45,621', 45621.0, 28, '45,821', 45821.0), 'matched_target_line': ('total liabilities', 28, '[row 25]: Total liabilities | | 45,621 [SEP]')}"
Logitech,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 36),"{'numeric_diff': (76, 36, '3,560,753', 3560753.0, 36, '3,560,853', 3560853.0), 'matched_target_line': ('total liabilities', 36, ""[row 33]: Total liabilities and shareholders' equity | $ 3,560,753 | [SEP]"")}"
Lucid Motors,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 28),"{'numeric_diff': (49, 28, '3,661,026', 3661026.0, 28, '3,761,026', 3761026.0), 'matched_target_line': ('total liabilities', 28, '[row 25]: Total liabilities | 3,661,026 | [SEP]')}"
Luckin Coffee,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 119),"{'numeric_diff': (257, 119, '10,480,397', 10480397.0, 119, '10,580,397', 10580397.0), 'matched_target_line': ('total liabilities', 119, '[row 12]: Total liabilities, mezzanine equity and shareholders’ equity |  | 10,480,397 |  |  [SEP]')}"
Lyft,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 37),"{'numeric_diff': (97, 37, '4,564,467', 4564467.0, 37, '4,564,567', 4564567.0), 'matched_target_line': ('total liabilities', 37, '[row 34]: Total liabilities and stockholders’ equity | $4,564,467 | [SEP]')}"
Marriott,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (75, 41, '25,674', 25674.0, 41, '25,874', 25874.0), 'matched_target_line': ('total liabilities', 41, '[row 38]: Total liabilities and stockholders’ (deficit) equity | $ 25,674 | [SEP]')}"
MasterCard,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 44),"{'numeric_diff': (88, 44, '6,975', 6975.0, 44, '6,875', 6875.0), 'matched_target_line': ('total equity', 44, '[row41]: Total Equity | 6,975 | [SEP]')}"
McDonald_s,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 44),"{'numeric_diff': (82, 44, '50,435.6', 50435.6, 44, '50,335.6', 50335.6), 'matched_target_line': ('total liabilities', 44, '[row 41]: Total liabilities and shareholders’ equity (deficit) | $ 50,435.6 | [SEP]')}"
Merck,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 42),"{'numeric_diff': (87, 42, '37,635', 37635.0, 42, '37,835', 37835.0), 'matched_target_line': ('total equity', 42, '[row 39]: Total equity | 37,635 | [SEP]')}"
Meta Platforms,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 35),"{'numeric_diff': (73, 35, '229,623', 229623.0, 35, '229,823', 229823.0), 'matched_target_line': ('total liabilities', 35, ""[row 32]: Total liabilities and stockholders' equity | $ 229,623 | [SEP]"")}"
Microchip Technology,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 33),"{'numeric_diff': (76, 33, '16,370.3', 16370.3, 33, '16,470.3', 16470.3), 'matched_target_line': ('total liabilities', 33, ""[row 30]: Total liabilities and stockholders' equity | $ 16,370.3 | [SEP]"")}"
Microsoft,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 42),"{'numeric_diff': (82, 42, '512,163', 512163.0, 42, '512,563', 512563.0), 'matched_target_line': ('total liabilities', 42, '[row 39]: Total liabilities and stockholders’ equity | $ 512,163 | [SEP]')}"
